,0
0,33.987076464707904
1,36.429735439332916
2,45.978377863714115
3,56.19673576692855
4,41.07267472142737
5,56.267888256787124
6,43.07438473670469
7,51.654667543518435
8,61.02682936569658
9,37.33256466658
10,48.19893992454089
11,21.77776302061436
12,44.2491662289157
13,33.393238189657694
14,56.98936805565196
15,32.46017926576816
16,32.11043740130138
17,35.65562166003326
18,18.906139584885686
19,49.542247563567166
20,32.64051709985292
21,39.50784285460761
22,42.11455813273862
23,60.145559573496115
24,41.70104830423872
25,27.1619822591317
26,40.43839218712912
27,55.748690337704744
28,58.37466169405838
29,35.57664352506002
30,40.24913173698668
31,45.33263276988073
32,33.414300437250674
33,20.374936016617987
34,21.81379047072458
35,51.65029043655656
36,43.32456315614864
37,25.366424422694156
38,53.30433710743764
39,30.880014053038682
40,45.104199066432955
41,28.98321145472147
42,47.47972996497724
43,33.19082715398376
44,29.115198503706672
45,67.99838014401415
46,59.73721853316117
47,47.29739538932137
48,39.81387510490312
49,47.92979629355609
50,30.619761833946733
51,40.4038692730696
52,46.14667497148547
53,53.67768727131515
54,37.235001623658306
55,32.08789205989212
56,48.719522184711884
57,39.658963454177254
58,41.178922575983826
59,33.94041323773822
60,46.70604582842476
61,49.03929558657797
62,34.353892149494776
63,47.804546408329465
64,52.506264232659234
65,36.04735222047611
66,48.96990089953373
67,42.52201888304623
68,31.73254643907994
69,45.95091304654799
70,47.302889208029384
71,43.96552630282512
72,32.35973178960588
73,45.48631553896886
74,32.40003008716338
75,43.9386331187733
76,41.142811578988336
77,43.35011888826273
78,46.63043308145395
79,27.56943384302901
80,52.02998299903301
81,39.233390767057564
82,25.594221052870953
83,51.320548056255504
84,37.95782676149912
85,45.0178295316708
86,48.68804935521166
87,47.270554641602374
88,42.18341626647768
89,33.13955272716787
90,41.6033508990473
91,36.09533074897605
92,35.45138474227233
93,35.55855656420369
94,45.993156238619314
95,20.14118679156845
96,21.342694459398054
97,49.97714345864942
98,42.531553601203676
99,41.27691570846627
100,53.800439550338986
101,37.14969040091158
102,31.039650121938013
103,23.015499546285106
104,44.54154637301591
105,24.612652488595426
106,26.750699942891675
107,38.17450410195808
108,38.948249572123366
109,49.50682741473901
110,45.31833164776086
111,36.01845782922218
112,47.77958663264547
113,25.192260618183596
114,54.691681608905824
115,33.943992012241154
116,39.44516035680216
117,34.75682936111491
118,42.560095287266954
119,35.548553645349536
120,35.00840886176062
121,43.051234884877644
122,31.41051196509268
123,32.87946873909415
124,41.33471414226555
125,28.365530494314363
126,44.996319284521086
127,57.34333006733941
128,27.631539134453334
129,23.35124220288625
130,37.05116628049032
131,28.93899252643195
132,34.06295485800633
133,39.43723020409049
134,25.906650738887315
135,47.147546371305815
136,57.14420350085185
137,37.898733309814524
138,24.116763860998205
139,45.41425912522418
140,52.683305944921415
141,56.36935921513582
142,18.424275299206165
143,51.26110326429077
144,50.474964601383434
145,38.126691544971415
146,12.818669829543182
147,41.72772925680422
148,50.257707884628765
149,35.68995250639581
150,33.80304824133652
151,38.141399439104745
152,23.034007951816314
153,35.37726397423482
154,47.23986522561746
155,32.28574257749497
156,48.77684552406802
157,52.172193879071145
158,47.12684917874927
159,53.59320772978695
160,45.66298519837346
161,56.24259699901137
162,37.60717587466144
163,28.09089555877491
164,48.08301899462632
165,47.531154169663594
166,46.1810780169812
167,29.92360148244111
168,64.3247637438532
169,38.81957164937867
170,59.899073688786444
171,35.783198815824456
172,40.424406069393456
173,38.511489827927406
174,44.248685486424186
175,31.702776389965145
176,51.95909486204811
177,38.93647417733761
178,48.32310987989668
179,52.72343445519979
180,31.516587395892095
181,14.781695934439881
182,36.91111967378055
183,45.974820196727414
184,43.36627858179954
185,30.418188164636533
186,47.61658394793054
187,9.137229784807374
188,57.147818598644804
189,38.33943480967467
190,44.50292715826254
191,38.792652099504124
192,36.83830005990708
193,17.295080947031675
194,42.58725201285736
195,56.151513128018465
196,37.21619943077656
197,47.68034621208356
198,37.92731583923038
199,48.5211930894688
200,55.03272206624426
201,38.32877365347828
202,37.972221564192076
203,26.720782521030387
204,57.664627310258595
205,47.843078117446886
206,40.77218583408498
207,40.78769079465444
208,29.698434895635657
209,32.89907618434454
210,49.211694595554334
211,51.97243507834489
212,39.08260833340699
213,28.182764213069504
214,33.68088114952248
215,52.41517873991192
216,29.693098559588663
217,59.21671548191624
218,37.66514841067503
219,36.823904653458214
220,52.878792046943886
221,37.14207210202351
222,42.7505898486285
223,21.39708301778181
224,45.827762771730306
225,43.28238962834102
226,37.60764419119678
227,33.182947720558204
228,40.43020925769238
229,42.06236188987999
230,43.22855104492955
231,42.16060809241091
232,53.5589368055156
233,23.387435702522932
234,24.34288980255146
235,49.13977152153268
236,41.33824609129979
237,13.08203574976929
238,27.035116783154763
239,36.28729984492357
240,47.799453935685385
241,34.116859937485444
242,43.39301921882158
243,30.270314037688124
